SR. No.,RollNo,Gender,Caste Category,PH,Ex-Serviceman,Sports,Widow,Obtain Marks
265,212000710,M,SEBC,,,,,97.1756
266,212000712,M,SEBC,,,,,119.226
267,212000714,M,SEBC,,,,,135.892
268,212000715,M,ST,,,,,118.2004
269,212000716,M,SEBC,,,,,119.4824
270,212000719,F,General,,,,,81.0224
271,212000721,F,SEBC,,,,,114.8672
272,212000723,M,General(EWS),,,YES,,108.97
273,212000724,M,SEBC,,,,,107.1752
274,212000725,M,General(EWS),,,,,137.174
275,212000726,M,SEBC,,,,,110.5084
276,212000728,M,SEBC,,,,,82.8172
277,212000730,M,SEBC,,,,,151.276
278,212000731,M,SEBC,,,,,143.0712
279,212000732,M,ST,,,,,126.6616
280,212000733,M,ST,,,,,97.1756
281,212000734,M,SEBC,,,,,141.7892
282,212000735,F,SEBC,,,,,117.6876
283,212000736,M,General(EWS),,,,,128.4564
284,212000737,M,General(EWS),,,,,138.456
285,212000739,F,SEBC,,,,,101.0216
286,212000740,F,SEBC,,,,,122.3028
287,212000741,M,SEBC,,,,,150.7632
288,212000742,M,General(EWS),,,,,135.892
289,212000743,F,SEBC,,,,,117.944
290,212000744,F,General(EWS),,,,,88.458
291,212000745,M,ST,,,,,108.7136
292,212000746,M,ST,,,,,92.5604
293,212000749,M,ST,,,,,99.7396
294,212000750,M,General(EWS),,,,,131.0204
295,212000752,M,General(EWS),,,,,140.2508
296,212000753,M,SEBC,,,,,130.2512
297,212000754,M,SC,,,,,97.432
298,212000755,F,SEBC,,,,,83.33
299,212000756,M,General(EWS),,,,,125.8924
300,212000757,M,General(EWS),,,,,134.3536
301,212000758,M,SEBC,,,,,107.4316
302,212000759,F,SEBC,,,,,90.7656
303,212000760,M,SEBC,,,,,112.5596
304,212000761,M,General(EWS),,,,,108.7136
305,212000763,M,General(EWS),,,,,122.8156
306,212000764,F,General(EWS),,,,,143.8404
307,212000766,M,SEBC,,,,,104.3548
308,212000768,M,SC,,,,,96.15
309,212000770,M,ST,,,,,118.2004
310,212000771,M,SEBC,,,YES,,94.868
311,212000772,M,SEBC,,,,,148.712
312,212000773,M,SC,,,,,105.124
313,212000774,F,ST,,,,,104.6112
314,212000776,F,ST,,,,,88.7144
315,212000778,M,General(EWS),,,,,135.6356
316,212000779,M,SEBC,,,,,154.3528
317,212000780,F,SEBC,,,,,117.1748
318,212000782,F,SC,,,,,120.7644
319,212000784,M,General,,,,,118.9696
320,212000785,F,General(EWS),,,,,137.4304
321,212000786,F,SEBC,,,,,88.7144
322,212000787,F,SEBC,,,,,144.3532
323,212000788,M,SEBC,,,,,142.8148
324,212000791,F,SEBC,,,,,81.7916
325,212000795,F,SC,,,,,84.3556
326,212000796,M,ST,,,,,113.8416
327,212000798,F,SEBC,,,,,126.1488
328,212000800,M,ST,,,,,107.4316
329,212000801,M,SEBC,,,,,103.842
330,212000802,M,SEBC,,,,,132.046
331,212000803,F,ST,,,,,102.56
332,212000804,M,SEBC,,,,,136.4048
333,212000805,M,General(EWS),,,,,134.8664
334,212000806,M,SEBC,,,,,122.8156
335,212000807,M,General(EWS),,,,,137.9432
336,212000809,M,General(EWS),,,,,126.6616
337,212000810,M,ST,,,,,100.7652
338,212000811,M,General(EWS),,,,,106.9188
339,212000812,M,SEBC,,,,,133.328
340,212000813,F,SEBC,,,,,114.8672
341,212000814,M,SEBC,,,,,115.6364
342,212000815,F,SEBC,,,,,82.5608
343,212000819,M,SEBC,,,,,131.2768
344,212000820,M,SEBC,,,YES,,107.688
345,212000821,M,SC,,,,,129.7384
346,212000822,F,General(EWS),,,,,100.5088
347,212000823,M,SEBC,,,,,132.8152
348,212000825,M,SEBC,,,,,144.0968
349,212000826,F,SC,,,,,125.1232
350,212000827,M,SEBC,,,,,103.5856
351,212000830,M,ST,,,,,81.5352
352,212000831,M,SEBC,,,,,125.3796
353,212000832,M,SEBC,,,,,114.098
354,212000833,F,SEBC,,,,,85.894
355,212000834,M,ST,,,,,112.816
356,212000838,M,General(EWS),,,,,139.738
357,212000839,F,SEBC,,,,,81.5352
358,212000841,M,General(EWS),,,,,122.3028
359,212000842,M,SC,,,,,89.74
360,212000843,M,ST,,,,,96.15
361,212000844,F,SEBC,,,,,100.5088
362,212000845,M,SEBC,,,,,138.456
363,212000846,M,SEBC,,,,,113.3288
364,212000848,M,General,,,,,135.1228
365,212000849,F,SEBC,,,,,135.892
366,212000850,M,ST,,,,,81.0224
367,212000851,M,General(EWS),,,,,134.8664
368,212000852,F,General(EWS),,,,,92.304
369,212000854,M,SEBC,,,,,127.6872
370,212000855,F,ST,,,,,95.6372
371,212000857,M,General(EWS),,,,,129.2256
372,212000858,F,SEBC,,,,,83.5864
373,212000859,M,SEBC,,,,,111.2776
374,212000860,F,SEBC,,,,,117.6876
375,212000863,F,SC,,,,,121.2772
376,212000865,M,General(EWS),,,,,121.2772
377,212000866,M,ST,,,,,81.7916
378,212000867,M,General(EWS),,,,,120.508
379,212000868,M,General(EWS),,,,,128.2
380,212000869,M,SEBC,,,,,103.5856
381,212000873,M,ST,,,,,96.15
382,212000874,M,SEBC,,,YES,,102.56
383,212000877,M,ST,,,,,107.1752
384,212000878,F,SC,,,,,137.174
385,212000879,M,SEBC,,,,,147.9428
386,212000882,M,General(EWS),,,,,124.8668
387,212000883,F,SEBC,,,,,94.6116
388,212000884,M,General(EWS),,,,,122.3028
389,212000887,M,SC,,,,,108.7136
390,212000889,F,SEBC,,,,,122.3028
391,212000890,M,General(EWS),,,,,134.3536
392,212000891,M,ST,,,,,104.0984
393,212000892,F,SEBC,,,,,99.7396
394,212000893,F,SEBC,,,,,83.5864
395,212000894,M,SEBC,,,,,132.3024
396,212000895,F,General(EWS),,,,,125.8924
397,212000896,M,SEBC,,,,,122.3028
398,212000897,M,SEBC,,,,,88.9708
399,212000898,M,SEBC,,,,,88.7144
400,212000899,M,SEBC,,,,,128.2
401,212000900,F,General(EWS),,,,,125.1232
402,212000901,M,General(EWS),,,,,146.148
403,212000902,M,SC,,,,,108.2008
404,212000904,F,SEBC,,,,,108.7136
405,212000905,F,SC,,,,,135.3792
406,212000906,M,SC,,,,,127.6872
407,212000909,F,ST,,,,,105.8932
408,212000913,M,ST,,,,,80.5096
409,212000914,M,SEBC,,,,,126.918
410,212000917,M,SEBC,,,,,139.4816
411,212000919,F,SEBC,,,,,100.5088
412,212000922,M,General(EWS),,,,,136.9176
413,212000923,F,SEBC,,,,,135.892
414,212000924,M,ST,,,,,109.2264
415,212000926,M,ST,,,,,128.9692
416,212000927,M,ST,,,,,107.4316
417,212000929,F,ST,,,YES,,80.766
418,212000930,M,SEBC,,,,,103.5856
419,212000933,M,General(EWS),,,,,103.5856
420,212000934,F,ST,,,,,103.5856
421,212000938,M,General,,,,,136.1484
422,212000939,M,ST,,,,,113.5852
423,212000940,F,SEBC,,,,,98.2012
424,212000941,M,SEBC,,,,,91.022
425,212000942,F,General(EWS),,,,,148.9684
426,212000943,M,General(EWS),,,,,123.072
427,212000944,F,SEBC,,,,,112.816
428,212000945,F,SEBC,,,,,103.0728
429,212000947,M,ST,,,,,106.406
430,212000948,M,SC,,,,,129.9948
431,212000951,F,SEBC,,,,,95.1244
432,212000953,M,SEBC,,,,,132.046
433,212000954,F,General,,,,,131.2768
434,212000955,M,SEBC,,,,,150.5068
435,212000956,F,SC,,,,,107.4316
436,212000957,M,SEBC,,,,,163.3268
437,212000958,F,SEBC,,,,,115.6364
438,212000961,M,SEBC,,,YES,,156.404
439,212000963,M,General(EWS),,,,,142.0456
440,212000964,F,SEBC,,,,,104.3548
441,212000965,M,General,,,,,137.174
442,212000966,F,General(EWS),,,YES,,124.0976
443,212000967,F,SC,,,,,125.3796
444,212000968,F,SEBC,,,,,96.9192
445,212000969,M,SEBC,,,,,124.0976
446,212000972,M,SEBC,,,,,107.1752
447,212000973,M,SEBC,,,,,127.9436
448,212000976,F,SC,,,,,94.3552
449,212000977,M,SEBC,,,,,97.432
450,212000979,F,SEBC,,,,,113.8416
451,212000980,M,SEBC,,,,,99.4832
452,212000981,F,SEBC,,,,,98.2012
453,212000983,M,General(EWS),,,,,146.4044
454,212000984,M,SEBC,,,,,117.4312
455,212000987,M,General(EWS),,,,,112.0468
456,212000990,F,SEBC,,,,,95.3808
457,212000991,M,ST,,,,,91.2784
458,212000992,F,General,,,,,112.5596
459,212000993,M,SEBC,,,,,99.996
460,212000994,M,SC,,,,,113.0724
461,212000996,M,ST,,,,,98.9704
462,212000997,F,SEBC,,,,,101.278
463,212000998,M,SEBC,,,,,129.482
464,212000999,M,SEBC,,,,,150.2504
465,212001000,M,SEBC,,,,,132.5588
466,212001001,F,SEBC,,,,,85.6376
467,212001004,F,SEBC,,,,,117.944
468,212001005,M,General(EWS),,,,,128.9692
469,212001006,M,SC,,,,,107.9444
470,212001007,M,SEBC,,,,,154.8656
471,212001008,F,SEBC,,,,,128.7128
472,212001009,M,SEBC,,,,,96.15
473,212001010,F,SC,,,,,95.1244
474,212001011,F,ST,,,,,85.6376
475,212001012,M,SEBC,,,,,147.43
476,212001014,M,ST,,,,,97.1756
477,212001015,F,SEBC,,,,,108.4572
478,212001016,M,SEBC,,,,,144.6096
479,212001018,F,ST,,,,,112.816
480,212001019,F,SC,,,,,98.4576
481,212001021,M,ST,,,,,81.2788
482,212001023,M,SEBC,,,,,134.61
483,212001024,M,SEBC,,,,,133.328
484,212001025,M,SEBC,,,,,126.1488
485,212001026,M,SEBC,,,,,96.9192
486,212001027,M,SC,,,,,101.5344
487,212001029,M,SC,,,,,102.3036
488,212001030,F,General(EWS),,,,,135.6356
489,212001031,F,SC,,,,,112.816
490,212001032,M,ST,,,,,88.458
491,212001033,F,SC,,,,,119.9952
492,212001034,F,SEBC,,,,,99.4832
493,212001035,M,SEBC,,,,,95.3808
494,212001036,M,General(EWS),,,,,147.1736
495,212001037,F,SEBC,,,,,87.4324
496,212001039,M,ST,,,,,89.4836
497,212001040,F,SEBC,,,,,112.0468
498,212001041,M,SEBC,,,,,112.0468
499,212001042,F,SEBC,,,,,130.5076
500,212001043,M,ST,,,,,108.4572
501,212001044,M,SEBC,,,,,106.9188
502,212001046,M,SEBC,,,,,120.2516
503,212001047,M,General(EWS),,,,,81.0224
504,212001048,F,SEBC,,,,,113.0724
505,212001051,M,SC,,,,,142.8148
506,212001053,M,SEBC,,,,,115.38
507,212001054,M,SEBC,,,,,127.1744
508,212001055,M,ST,,,,,127.4308
509,212001056,M,SEBC,,,,,115.8928
510,212001057,F,SEBC,,,,,105.3804
511,212001059,F,ST,,,,,125.8924
512,212001060,M,SEBC,,,,,103.842
513,212001061,M,SEBC,,,,,100.7652
514,212001062,F,SEBC,,,,,88.7144
515,212001063,M,SEBC,,,,,111.534
516,212001067,F,SEBC,,,,,99.4832
517,212001069,M,ST,,,,,87.9452
518,212001074,M,SEBC,,,YES,,101.0216
519,212001075,F,General(EWS),,,,,101.5344
520,212001077,F,SEBC,,,,,122.8156
521,212001078,M,SEBC,,,,,119.226
522,212001079,M,SEBC,,,,,80.766
523,212001081,M,SC,,,,,106.6624
524,212001082,M,SC,,,,,133.8408
525,212001085,M,SEBC,,,,,117.4312
526,212001087,F,ST,,,,,97.1756
527,212001088,M,SEBC,,,,,122.3028
528,212001089,F,ST,,,,,84.0992
529,212001092,F,General(EWS),,,,,111.0212
530,212001093,F,SEBC,,,,,106.9188
531,212001096,M,SEBC,,,,,138.7124
532,212001098,M,SEBC,,,,,110.5084
533,212001099,M,SEBC,,,YES,,89.74
534,212001101,M,General(EWS),,,,,116.9184
535,212001102,M,SEBC,,,,,106.6624
536,212001104,M,General,,,,,103.842
537,212001105,F,General,,,,,87.6888
538,212001106,M,ST,,,,,109.2264
539,212001107,F,SEBC,,,,,83.5864
540,212001108,M,General(EWS),,,,,85.894
541,212001109,M,SEBC,,,,,115.6364
542,212001111,M,SEBC,,,,,108.97
543,212001112,M,SC,,,,,128.9692
544,212001113,F,ST,,,,,86.1504
545,212001114,M,SEBC,,,,,122.0464
546,212001117,M,General(EWS),,,,,144.3532
547,212001118,F,SC,,,,,94.0988
548,212001119,M,SC,,,,,120.508
549,212001120,F,SC,,,,,140.2508
550,212001121,M,General(EWS),,,,,128.2
551,212001122,F,General(EWS),,,,,130.764
552,212001123,M,ST,,,,,88.9708
553,212001124,M,General(EWS),,,,,144.3532
554,212001125,F,SC,,,,,125.1232
555,212001126,M,ST,,,,,113.0724
556,212001128,F,General(EWS),,,,,113.0724
557,212001129,M,General,,,,,99.996
558,212001132,M,ST,,,,,113.8416
559,212001133,M,General(EWS),,,,,130.5076
560,212001134,M,SC,,,,,143.0712
561,212001135,M,SEBC,,,,,120.508
562,212001136,F,SC,,,,,138.456
563,212001137,F,ST,,,,,95.8936
564,212001138,M,General(EWS),,,,,118.7132
565,212001139,M,SEBC,,,,,90.7656
566,212001140,M,SEBC,,,,,115.1236
567,212001142,M,General(EWS),,,,,134.3536
568,212001144,M,SEBC,,,,,121.79
569,212001146,F,SC,,,,,112.3032
570,212001147,M,General,,,,,137.6868
571,212001151,M,SEBC,,,,,107.688
572,212001152,M,General,,,,,112.0468
573,212001153,M,General(EWS),,,,,124.0976
574,212001154,M,ST,,,,,116.662
575,212001155,M,General(EWS),,,,,137.6868
576,212001156,F,ST,,,,,104.3548
577,212001157,F,General(EWS),,,,,136.1484
578,212001158,F,General(EWS),,,,,134.0972
579,212001159,M,SC,,,,,96.9192
580,212001160,F,SEBC,,,,,81.7916
581,212001161,M,SEBC,,,,,144.866
582,212001162,M,General(EWS),,,,,133.328
583,212001163,M,General(EWS),,,,,150.5068
584,212001164,F,SEBC,,,,,100.7652
585,212001165,M,ST,,,,,114.3544
586,212001166,F,General(EWS),,,,,107.9444
587,212001172,M,SEBC,,,,,145.8916
588,212001173,M,SEBC,,,,,127.6872
589,212001174,M,SC,,,,,133.328
590,212001176,F,SEBC,,,,,93.3296
591,212001177,M,General(EWS),,,,,124.0976
592,212001178,F,General(EWS),,,,,94.868
593,212001179,F,SEBC,,,,,89.74
594,212001180,M,SC,,,,,117.6876
595,212001181,M,SC,,,,,87.6888
596,212001182,M,General(EWS),,,,,92.304
597,212001183,F,SC,,,,,95.8936
598,212001184,M,SC,,,,,133.5844
599,212001185,M,SEBC,,,,,110.252
600,212001186,M,SEBC,,,,,114.6108
601,212001188,M,ST,,,,,98.4576
602,212001190,M,General(EWS),,,,,111.7904
603,212001191,F,General(EWS),,,,,146.4044
604,212001193,M,General(EWS),,,,,152.558
605,212001194,M,SC,,,,,130.2512
606,212001195,F,SEBC,,,,,128.7128
607,212001197,M,SEBC,,,YES,,128.2
608,212001198,F,SEBC,,,,,94.868
609,212001199,M,General(EWS),,,,,135.892
610,212001200,M,General,,,,,92.0476
611,212001201,M,SEBC,,,,,92.304
612,212001203,M,General,,,,,142.302
613,212001204,M,SEBC,,,,,114.3544
614,212001205,M,SC,,,,,132.046
615,212001207,M,ST,,,,,109.4828
616,212001208,M,General(EWS),,,,,106.406
617,212001209,F,SEBC,,,,,111.0212
618,212001210,M,SEBC,,,,,117.944
619,212001211,M,SEBC,,,,,145.3788
620,212001212,F,SEBC,,,,,108.7136
621,212001213,M,ST,,,,,99.996
622,212001214,F,General(EWS),,,,,126.6616
623,212001215,F,SC,,,,,97.432
624,212001216,M,ST,,,,,96.15
625,212001217,M,SEBC,,,,,134.3536
626,212001218,F,ST,,,,,104.0984
627,212001219,F,SC,,,,,99.7396
628,212001220,M,SC,,,,,128.7128
629,212001221,M,SC,,,,,84.3556
630,212001222,M,SC,,,,,125.8924
631,212001223,M,SEBC,,,,,122.8156
632,212001224,F,SEBC,,,,,110.7648
633,212001225,M,General(EWS),,,,,132.046
634,212001228,M,ST,,,,,130.5076
635,212001229,M,SEBC,,,,,116.9184
